Time Window,Date,Underlying,TEF.MC,REP.MC,BBVA.MC
250,2000-04-20,TEF.MC,1.0,,
250,2000-04-20,REP.MC,,1.0,
250,2000-04-20,BBVA.MC,,,1.0
250,2000-04-21,TEF.MC,1.0,,
250,2000-04-21,REP.MC,,1.0,
250,2000-04-21,BBVA.MC,,,1.0
250,2000-04-24,TEF.MC,1.0,,
250,2000-04-24,REP.MC,,1.0,
250,2000-04-24,BBVA.MC,,,1.0
250,2000-04-25,TEF.MC,1.0,,
250,2000-04-25,REP.MC,,1.0,
250,2000-04-25,BBVA.MC,,,1.0
250,2000-04-26,TEF.MC,1.0,,
250,2000-04-26,REP.MC,,1.0,
250,2000-04-26,BBVA.MC,,,1.0
250,2000-04-27,TEF.MC,1.0,,
250,2000-04-27,REP.MC,,1.0,
250,2000-04-27,BBVA.MC,,,1.0
250,2000-04-28,TEF.MC,1.0,,
250,2000-04-28,REP.MC,,1.0,
250,2000-04-28,BBVA.MC,,,1.0
250,2000-05-01,TEF.MC,1.0,,
250,2000-05-01,REP.MC,,1.0,
250,2000-05-01,BBVA.MC,,,1.0
250,2000-05-02,TEF.MC,1.0,,
250,2000-05-02,REP.MC,,1.0,
250,2000-05-02,BBVA.MC,,,1.0
250,2000-05-03,TEF.MC,1.0,,
250,2000-05-03,REP.MC,,1.0,
250,2000-05-03,BBVA.MC,,,1.0
250,2000-05-04,TEF.MC,1.0,,
250,2000-05-04,REP.MC,,1.0,
250,2000-05-04,BBVA.MC,,,1.0
250,2000-05-05,TEF.MC,1.0,,
250,2000-05-05,REP.MC,,1.0,
250,2000-05-05,BBVA.MC,,,1.0
250,2000-05-08,TEF.MC,1.0,,
250,2000-05-08,REP.MC,,1.0,
250,2000-05-08,BBVA.MC,,,1.0
250,2000-05-09,TEF.MC,1.0,,
250,2000-05-09,REP.MC,,1.0,
250,2000-05-09,BBVA.MC,,,1.0
250,2000-05-10,TEF.MC,1.0,,
250,2000-05-10,REP.MC,,1.0,
250,2000-05-10,BBVA.MC,,,1.0
250,2000-05-11,TEF.MC,1.0,,
250,2000-05-11,REP.MC,,1.0,
250,2000-05-11,BBVA.MC,,,1.0
250,2000-05-12,TEF.MC,1.0,,
250,2000-05-12,REP.MC,,1.0,
